case_id,task_duration(us),device_id,operation,description,m,n,k,A,B,C
103,21.860,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x512_128x160x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
104,21.380,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x512_128x160x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
105,20.620,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x128_128x192x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
106,20.660,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x128_128x192x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
107,21.060,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x128_128x192x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
108,20.860,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x128_128x192x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
109,23.020,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x160_128x192x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
110,22.940,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x160_128x192x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
111,22.840,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x160_128x192x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
112,24.540,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x160_128x192x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
113,22.180,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x192_128x192x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
114,22.540,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x192_128x192x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
115,22.120,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x192_128x192x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
116,22.860,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x192_128x192x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
117,23.680,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x224_128x192x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
118,22.360,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x224_128x192x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
119,23.780,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x224_128x192x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
120,22.820,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x224_128x192x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
121,19.780,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x256_128x192x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
122,20.340,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x256_128x192x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
123,19.720,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x256_128x192x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
124,20.000,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x256_128x192x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
125,23.260,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x288_128x192x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
126,22.700,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x288_128x192x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
127,23.160,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x288_128x192x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
128,22.780,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x288_128x192x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
129,22.800,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x320_128x192x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
130,23.020,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x320_128x192x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
131,22.660,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x320_128x192x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
132,22.140,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x320_128x192x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
133,23.360,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x352_128x192x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
